z	name	symbol	group	period	mass	density	volume	atomic_radii	van_der_waals_radii	covalent_radii	melt	boil	specific_heat	electronegativity	first_ionization_energy	s_elec	p_elec	d_elec	f_elec	production	radioactive	scattering_factors	HHI_P	HHI_R
89	Actinium	Ac	0	7	227	10.0699996948	44.8699989319	195	-1	-1	1323.15002441	3471	0.119999997318	1.10000002384	5.17000007629	2	0	1	0	0.0010000000475	0	{'a1': 35.659698, 'c': 13.5266, 'b4': 117.019997, 'a3': 12.5977, 'a2': 23.103201, 'a4': 4.08655, 'b2': 3.65155, 'b3': 18.599001, 'b1': 0.589092}	0	0
47	Silver	Ag	11	5	107.867996216	10.5010004044	17.4099998474	160	172	153	1234.15002441	2435	0.234999999404	1.92999994755	7.57620000839	1	0	10	0	0.0750000029802	0	{'a1': 19.2808, 'c': 5.179, 'b4': 99.815598, 'a3': 4.8045, 'a2': 16.688499, 'a4': 1.0463, 'b2': 7.4726, 'b3': 24.6605, 'b1': 0.6446}	1200	1400
13	Aluminium	Al	13	3	26.9815006256	2.69799995422	16.4799995422	125	-1	118	933.400024414	2792	0.897000014782	1.61000001431	5.98577022552	2	1	0	0	82300	0	{'a1': 6.4202, 'c': 1.1151, 'b4': 85.0886, 'a3': 1.5936, 'a2': 1.9002, 'a4': 1.9646, 'b2': 0.7426, 'b3': 31.547199, 'b1': 3.0387}	1600	1000
95	Americium	Am	0	7	243	13.6899995804	-1	175	-1	-1	1267.15002441	2880	-1	1.29999995232	5.97380018234	2	0	0	7	8	0	{'a1': 36.670601, 'c': 13.3592, 'b4': 102.273003, 'a3': 17.341499, 'a2': 24.099199, 'a4': 3.49331, 'b2': 3.20647, 'b3': 14.3136, 'b1': 0.483629}	0	0
18	Argon	Ar	18	3	39.9480018616	0.00178369996138	33.7999992371	71	188	97	83.9599990845	87.3000030518	0.519999980927	0	15.7595996857	2	6	0	0	3.5	0	{'a1': 7.4845, 'c': 1.4445, 'b4': 33.392899, 'a3': 0.6539, 'a2': 6.7723, 'a4': 1.6442, 'b2': 14.8407, 'b3': 43.8983, 'b1': 0.9072}	0	0
33	Arsenic	As	15	4	74.9216003418	5.77600002289	23.8974990845	115	185	119	1090.16003418	887	0.328999996185	2.18000006676	9.78859996796	2	3	10	0	1.79999995232	0	{'a1': 10.6723, 'c': 2.531, 'b4': 47.797199, 'a3': 3.4313, 'a2': 6.0701, 'a4': 4.2779, 'b2': 0.2647, 'b3': 12.9479, 'b1': 2.6345}	3300	4000
85	Astatine	At	17	6	210	7	-1	-1	-1	-1	575.150024414	610	-1	2.20000004768	-1	0	0	0	0	0.0010000000475	0	{'a1': 35.316299, 'c': 13.7108, 'b4': 45.4715, 'a3': 9.49887, 'a2': 19.021099, 'a4': 7.42518, 'b2': 3.97458, 'b3': 11.3824, 'b1': 0.68587}	0	0
79	Gold	Au	11	6	196.966995239	19.281999588	17.7099990845	135	166	144	1337.72998047	3129	0.128999993205	2.53999996185	9.22550010681	1	0	10	14	0.00400000018999	0	{'a1': 16.881901, 'c': 12.0658, 'b4': 36.395599, 'a3': 25.558201, 'a2': 18.591299, 'a4': 5.86, 'b2': 8.6216, 'b3': 1.4826, 'b1': 0.4611}	1100	1000
5	Boron	B	13	2	10.8109998703	2.33999991417	7.18499994278	85	-1	82	2573.14990234	4200	1.02600002289	2.03999996185	8.2980298996	4	1	0	0	10	0	{'a1': 2.0545, 'c': -0.1932, 'b4': 0.1403, 'a3': 1.0979, 'a2': 1.3326, 'a4': 0.7068, 'b2': 1.021, 'b3': 60.3498, 'b1': 23.2185}	2900	2000
56	Barium	Ba	2	6	137.32699585	3.59400010109	63.0099983215	215	-1	198	1002.15002441	2170	0.203999996185	0.889999985695	5.21169996262	2	0	0	0	425	0	{'a1': 20.3361, 'c': 2.7731, 'b4': 167.201996, 'a3': 10.888, 'a2': 19.297001, 'a4': 2.6959, 'b2': 0.2756, 'b3': 20.2073, 'b1': 3.216}	3000	2300
4	Beryllium	Be	2	2	9.01218032837	1.85000002384	7.90999984741	105	-1	90	1560.15002441	2742	1.82500004768	1.57000005245	9.32269954681	4	0	0	0	2.79999995232	0	{'a1': 1.5919, 'c': 0.0385, 'b4': 0.542, 'a3': 0.5391, 'a2': 1.1278, 'a4': 0.7029, 'b2': 1.8623, 'b3': 103.483002, 'b1': 43.6427}	8000	4000
107	Bohrium	Bh	7	7	264	37	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	NULL	0	0
83	Bismuth	Bi	15	6	208.979995728	9.80700016022	36.0900001526	160	-1	146	544.66998291	1837	0.122000001371	2.01999998093	7.28560018539	2	3	10	14	0.00899999961257	0	{'a1': 33.3689, 'c': 13.5782, 'b4': 48.0093, 'a3': 16.5877, 'a2': 12.951, 'a4': 6.4692, 'b2': 2.9238, 'b3': 8.7937, 'b1': 0.704}	5300	6000
97	Berkelium	Bk	0	7	247	14.7899999619	-1	-1	-1	-1	1259.15002441	983	-1	1.29999995232	6.19789981842	0	0	0	0	0	0	{'a1': 36.788101, 'c': 13.2754, 'b4': 86.002998, 'a3': 17.891899, 'a2': 24.7736, 'a4': 4.23284, 'b2': 3.04619, 'b3': 12.8946, 'b1': 0.451018}	0	0
35	Bromine	Br	17	4	79.9039993286	3.12199997902	31.5475006104	115	185	114	266.049987793	332	0.474000006914	2.96000003815	11.8137998581	2	5	10	0	2.40000009537	0	{'a1': 17.1789, 'c': 2.9557, 'b4': 41.4328, 'a3': 5.6377, 'a2': 5.2358, 'a4': 3.9851, 'b2': 16.579599, 'b3': 0.2609, 'b1': 2.1723}	3300	6900
6	Carbon	C	14	2	12.0107002258	2.26699995995	11.7574996948	70	170	77	3948.15991211	4300	0.708999991417	2.54999995232	11.2602996826	4	2	0	0	200	0	{'a1': 2.31, 'c': 0.2156, 'b4': 51.651199, 'a3': 1.5886, 'a2': 1.02, 'a4': 0.865, 'b2': 10.2075, 'b3': 0.5687, 'b1': 20.843901}	500	500
20	Calcium	Ca	2	4	40.077999115	1.53999996185	39.7599983215	180	-1	174	1112.15002441	1757	0.647000014782	1	6.11316013336	2	0	0	0	41500	0	{'a1': 8.6266, 'c': 1.3751, 'b4': 178.436996, 'a3': 1.5899, 'a2': 7.3873, 'a4': 1.0211, 'b2': 0.6599, 'b3': 85.748398, 'b1': 10.4421}	3900	1500
48	Cadmium	Cd	12	5	112.411003113	8.68999958038	21.9599990845	155	158	148	594.33001709	1040	0.231999993324	1.69000005722	8.99380016327	2	0	10	0	0.158999994397	0	{'a1': 19.221399, 'c': 5.0694, 'b4': 87.482498, 'a3': 4.461, 'a2': 17.6444, 'a4': 1.6029, 'b2': 6.9089, 'b3': 24.7008, 'b1': 0.5946}	1700	1300
58	Cerium	Ce	0	6	140.115997314	6.76999998093	37.2000007629	185	-1	-1	1071.15002441	3716	0.192000001669	1.12000000477	5.53870010376	2	0	1	1	66.5	0	{'a1': 21.167101, 'c': 1.86264, 'b4': 127.112999, 'a3': 11.8513, 'a2': 19.769501, 'a4': 3.33049, 'b2': 0.226836, 'b3': 17.608299, 'b1': 2.81219}	9500	3100
98	Californium	Cf	0	7	251	15.1000003815	-1	-1	-1	-1	1925.15002441	1173	-1	1.29999995232	6.28170013428	0	0	0	0	0	0	{'a1': 36.918499, 'c': 13.2674, 'b4': 83.788101, 'a3': 18.331699, 'a2': 25.199499, 'a4': 4.24391, 'b2': 3.00775, 'b3': 12.4044, 'b1': 0.437533}	0	0
17	Chlorine	Cl	17	3	35.452999115	0.00321400002576	27.8899993896	100	175	99	172.309997559	239.11000061	0.479000002146	3.16000008583	12.9675998688	2	5	0	0	145	0	{'a1': 11.4604, 'c': -9.5574, 'b4': 47.7784, 'a3': 6.2556, 'a2': 7.1964, 'a4': 1.6455, 'b2': 1.1662, 'b3': 18.5194, 'b1': 0.0104}	1500	1500
96	Curium	Cm	0	7	247	13.5100002289	-1	-1	-1	-1	1340.15002441	3383	-1	1.29999995232	5.99149990082	0	0	0	0	0	0	{'a1': 36.6488, 'c': 13.2887, 'b4': 88.483398, 'a3': 17.399, 'a2': 24.409599, 'a4': 4.21665, 'b2': 3.08997, 'b3': 13.4346, 'b1': 0.465154}	0	0
